"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1984","Canada","","Divorces","Number","223","units ","0","v107","1.1","65172","","","","0"
"1984","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","590","","","","0"
"1984","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","195","","","","0"
"1984","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2264","","","","0"
"1984","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1427","","","","0"
"1984","Quebec","","Divorces","Number","223","units ","0","v115","6.1","16845","","","","0"
"1984","Ontario","","Divorces","Number","223","units ","0","v116","7.1","21636","","","","0"
"1984","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2611","","","","0"
"1984","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1988","","","","0"
"1984","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8454","","","","0"
"1984","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8988","","","","0"
"1984","Yukon","","Divorces","Number","223","units ","0","v110","12.1","100","","","","0"
"1984","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","74","","","t","0"
"1985","Canada","","Divorces","Number","223","units ","0","v107","1.1","61976","","","","0"
"1985","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","561","","","","0"
"1985","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","213","","","","0"
"1985","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2337","","","","0"
"1985","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1360","","","","0"
"1985","Quebec","","Divorces","Number","223","units ","0","v115","6.1","15814","","","","0"
"1985","Ontario","","Divorces","Number","223","units ","0","v116","7.1","20851","","","","0"
"1985","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2313","","","","0"
"1985","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","1927","","","","0"
"1985","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8102","","","","0"
"1985","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","8330","","","","0"
"1985","Yukon","","Divorces","Number","223","units ","0","v110","12.1","96","","","","0"
"1985","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","72","","","t","0"
"1986","Canada","","Divorces","Number","223","units ","0","v107","1.1","78304","","","","0"
