REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 5 to 9 years",Number,223,units ,0,v42139422,4.8,439,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 5 years",Number,223,units ,0,v42139423,4.9,78,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 6 years",Number,223,units ,0,v42139424,4.1,75,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 7 years",Number,223,units ,0,v42139425,4.11,84,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 8 years",Number,223,units ,0,v42139426,4.12,112,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 9 years",Number,223,units ,0,v42139427,4.13,90,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 10 to 14 years",Number,223,units ,0,v42139428,4.14,402,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 10 years",Number,223,units ,0,v42139429,4.15,76,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 11 years",Number,223,units ,0,v42139430,4.16,67,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 12 years",Number,223,units ,0,v42139431,4.17,85,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 13 years",Number,223,units ,0,v42139432,4.18,81,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 14 years",Number,223,units ,0,v42139433,4.19,93,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 15 to 19 years",Number,223,units ,0,v42139434,4.2,311,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 15 years",Number,223,units ,0,v42139435,4.21,76,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 16 years",Number,223,units ,0,v42139436,4.22,58,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 17 years",Number,223,units ,0,v42139437,4.23,68,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 18 years",Number,223,units ,0,v42139438,4.24,60,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 19 years",Number,223,units ,0,v42139439,4.25,49,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 20 to 24 years",Number,223,units ,0,v42139440,4.26,260,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 20 years",Number,223,units ,0,v42139441,4.27,62,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 21 years",Number,223,units ,0,v42139442,4.28,56,,,,0
